Liver,Season,Sex,Age,Flukepa,NoFlukes,Taeniapa,NoBladderworms,Coinfectedpa,DHA,DHA.code,Liver.mass,area.km2,ann.harvest,deer.den,elev,elev.var,wet.mean,open.mean,dev.mean,devtot,decid.mean,evmix.mean,foredge.mean,devlo.mean,devmh.mean,wet2.mean,evmix2.mean,decid2.mean,grasscrop2.mean,devo.mean,intensity.mean,PC1,PC2
L072,2015,na,na,1,2,1,1,1,1,a,1362,11.3083716,30.8,2.723645905,234.9544579,1340.712599,15.38863,5.63456,4.6361133,10.2706733,51.33809223,20.479622,2.206861,2.744061,1.8920523,15.92817,7.340156,63.11865,2.33122995,11.281795,40.452373,2.238997395,-1.377409026
L073,2015,na,na,0,0,0,0,0,1,a,1062,11.3083716,30.8,2.723645905,234.9544579,1340.712599,15.38863,5.63456,4.6361133,10.2706733,51.33809223,20.479622,2.206861,2.744061,1.8920523,15.92817,7.340156,63.11865,2.33122995,11.281795,40.452373,2.247154688,-1.49006785
L074,2015,na,na,1,1,0,0,0,1,a,989,11.3083716,30.8,2.723645905,234.9544579,1340.712599,15.38863,5.63456,4.6361133,10.2706733,51.33809223,20.479622,2.206861,2.744061,1.8920523,15.92817,7.340156,63.11865,2.33122995,11.281795,40.452373,2.249139629,-1.517481497
L086,2015,na,na,0,0,0,0,0,1,a,843,11.3083716,30.8,2.723645905,234.9544579,1340.712599,15.38863,5.63456,4.6361133,10.2706733,51.33809223,20.479622,2.206861,2.744061,1.8920523,15.92817,7.340156,63.11865,2.33122995,11.281795,40.452373,2.253109512,-1.572308791
L110,2015,na,na,0,0,1,1,0,1,a,1458,11.3083716,30.8,2.723645905,234.9544579,1340.712599,15.38863,5.63456,4.6361133,10.2706733,51.33809223,20.479622,2.206861,2.744061,1.8920523,15.92817,7.340156,63.11865,2.33122995,11.281795,40.452373,2.236387062,-1.341358203
L111,2015,M,fawn,0,0,0,0,0,1,a,748,11.3083716,30.8,2.723645905,234.9544579,1340.712599,15.38863,5.63456,4.6361133,10.2706733,51.33809223,20.479622,2.206861,2.744061,1.8920523,15.92817,7.340156,63.11865,2.33122995,11.281795,40.452373,2.255692655,-1.607984086
L151,2016,F,yearling,1,2,0,0,0,1,a,1199,11.3083716,30.8,2.723645905,234.9544579,1340.712599,15.38863,5.63456,4.6361133,10.2706733,51.33809223,20.479622,2.206861,2.744061,1.8920523,15.92817,7.340156,63.11865,2.33122995,11.281795,40.452373,2.243429525,-1.43862032
L152,2016,F,adult,1,3,1,6,1,1,a,800,11.3083716,30.8,2.723645905,234.9544579,1340.712599,15.38863,5.63456,4.6361133,10.2706733,51.33809223,20.479622,2.206861,2.744061,1.8920523,15.92817,7.340156,63.11865,2.33122995,11.281795,40.452373,2.254278724,-1.588456556
L153,2016,M,fawn,0,0,0,0,0,1,a,682,11.3083716,30.8,2.723645905,234.9544579,1340.712599,15.38863,5.63456,4.6361133,10.2706733,51.33809223,20.479622,2.206861,2.744061,1.8920523,15.92817,7.340156,63.11865,2.33122995,11.281795,40.452373,2.257487259,-1.632769027
L154,2016,F,adult,1,1,0,0,0,1,a,1203,11.3083716,30.8,2.723645905,234.9544579,1340.712599,15.38863,5.63456,4.6361133,10.2706733,51.33809223,20.479622,2.206861,2.744061,1.8920523,15.92817,7.340156,63.11865,2.33122995,11.281795,40.452373,2.243320761,-1.437118203
