liver,season,DHA,Sex,Age,Age,weight,fluke.inf,no.fluke,no.caps,Fluke.sa,taenia.inf,no.taenia,no.bladder,Coinfected
L055,2015,17D,F,adult,adult,1391,1,2,1,18318.20956,0,0,0,0
L069,2015,5,F,adult,adult,1052,1,5,2,14790.77435,0,0,0,0
L078,2015,5,F,adult,adult,1854,0,0,0,0,0,0,0,0
L079,2015,6,F,adult,adult,1127,0,0,0,0,0,0,0,0
L087,2015,6,F,adult,adult,1098,1,4,2,27013,0,0,0,0
L093,2015,20C,F,adult,adult,1289,0,0,0,0,0,0,0,0
L099,2015,12B,F,adult,adult,1097,0,0,0,0,1,3,3,0
L127,2016,19C,F,adult,adult,1125,0,0,0,0,1,2,2,0
L144,2016,15B,F,adult,adult,1433,1,1,0,0,0,0,0,0
L152,2016,1,F,adult,adult,800,1,3,1,19258.91016,1,5,6,1
L154,2016,1,F,adult,adult,1203,1,1,1,2682.239029,0,0,0,0
L155,2016,2B,F,adult,adult,1322,0,0,0,0,0,0,0,0
L159,2016,10A,F,adult,adult,873,0,0,0,0,0,0,0,0
L188,2017,17D,F,adult,adult,1520,1,4,2,29921.81868,0,0,0,0
L189,2017,1,F,adult,adult,1128,1,2,1,17799.64477,0,0,0,0
L191,2017,19C,F,adult,adult,1008,1,2,1,12310.54099,0,0,0,0
L192,2017,12B,F,adult,adult,1324,1,4,1,25755.61852,1,1,1,1
L198,2016,17D,F,adult,adult,1008,1,5,2,30500.21637,0,0,0,0
L199,2017,notes,F,2.5,adult,1220,1,2,1,15861.57929,1,1,1,1
L203,2017,15B,F,adult,adult,1203,1,1,0,4020.333818,0,0,0,0
L209,2017,17D,F,adult,adult,1410,1,3,1,14723.60961,0,0,0,0
L215,2017,15B,F,adult,adult,871,1,1,1,4719.409812,0,0,0,0
L218,2017,11,F,adult,adult,1066,1,4,2,32661.7006,0,0,0,0
L223,2017,notes,F,adult,adult,1003,1,4,1,14030.42128,1,1,1,1
L224,2017,16B,F,adult,adult,1011,1,5,2,16991.94758,0,0,0,0
L225,2017,17D,F,adult,adult,1008,1,3,1,32229.2899,0,0,0,0
L229,2018,14,F,3,adult,941,1,1,0,3242.560928,0,0,0,0
L240,2018,1,F,2.5,adult,1054,1,3,0,4219.338947,0,0,0,0
L247,2018,notes,F,adult,adult,957,0,0,0,0,0,0,0,0
